,0,1,2,3,4,5,6,7,8,9
0,HARRY,RON,MADAM,MALFOY,DUDLEY,WEASLEY,MCGONAGALL,WOOD,DUMBLEDORE,CRABBE
1,HARRY,WEASLEY,RON,MALFOY,RIDDLE,LOCKHART,MADAM,JUSTIN,M,T
2,HARRY,RON,HERMIONE,LUPIN,TRELAWNEY,MALFOY,GEORGE,PETTIGREW,MADAM,MCGONAGALL
3,HARRY,RON,WEASLEY,CEDRIC,DUMBLEDORE,FLEUR,HERMIONE,KRUM,BAGMAN,VOLDEMORT
4,HARRY,RON,WEASLEY,SIRIUS,GEORGE,GINNY,NEVILLE,HERMIONE,LUNA,ALICIA
5,HARRY,RON,DUMBLEDORE,VOLDEMORT,HERMIONE,MALFOY,GINNY,WEASLEY,SLUGHORN,LAVENDER
6,HARRY,RON,DUMBLEDORE,VOLDEMORT,HERMIONE,WEASLEY,MALFOY,LUPIN,ALBUS,GINNY
